source_id,title,publisher,year,edition,type,tier,drive_path,note
akahon,清酒製造技術,公益財団法人日本醸造協会,2023,増補改訂第3版,教科書,T1,読み物/日本酒資料/自炊本/清酒製造技術（赤本）/清酒製造技術.pdf,奥付で確認（令和5年2月20日発行）
aohon,酒造講本,公益財団法人日本醸造協会,2015,増補改訂新版3刷,教科書,T1,読み物/日本酒資料/自炊本/酒造購本（青本）/酒造講本.pdf,奥付で刷は確認・発行所は要確認
nihonshu-no-moto,日本酒の基,要確認,要確認,,教科書,T1,読み物/日本酒資料/自炊本/日本酒の基/*.pdf,章ごとに分割PDF（0〜8）。結合版 日本酒の基.pdf は重複のため除外
kanno-hyokashi,官能評価士テキスト,日本官能評価学会編・霞出版社,2020,第1刷（2019年制度改訂後の版）,教科書,T1,読み物/日本酒資料/自炊本/官能評価士テキスト/官能評価士認定テキスト.pdf,奥付で確認（2020年1月15日）
ginou-kentei,酒造技能検定 学科試験 正解（R4〜R6・1級/2級）,要確認,2022-2024,,試験問題,T1,読み物/日本酒資料/自炊本/酒造技能者/*.pdf,年度・級ごとの分割PDF
